SciName_cor,corrected_GrowthHabit
Amelanchier ,"Tree, Shrub"
Aster,Forb/herb
Atriplex,"Forb/herb, Shrub, Subshrub"
Bassia,Forb/herb
Bromus,Graminoid
Carex,Graminoid
Cladonia,Lichenous
Cuscuta,"Vine, Forb/herb"
Cyperus,Graminoid
Dichanthelium,Graminoid
Digitaria,Graminoid
Eleocharis,Graminoid
Eragrostis,Graminoid
Galium,Forb/herb
Hibiscus,"Forb/herb, Subshrub"
Hieracium,Forb/herb
Hydrocotyle,Forb/herb
Ipomoea,"Shrub, Forb/herb, Subshrub, Vine"
Juncus,Graminoid
Leersia,Graminoid
Lemna,Forb/herb
Lepidium,Forb/herb
Lonicera,Vine
Lycopus,Forb/herb
Melilotus,Forb/herb
Panicum,Graminoid
Plantago,Forb/herb
Polygonum,Forb/herb
Rosa,Subshrub
Rubus,Subshrub
Rumex,Forb/herb
Salicornia,Forb/herb
Scirpus,Graminoid
Scutellaria,Forb/herb
Solidago,Forb/herb
Sphagnum,Nonvascular
Spiraea,Shrub
Suaeda,"Forb/herb, Subshrub"
Typha,Forb/herb
Viburnum,"Tree, Subshrub, Shrub"
Vitis,Vine
