Latin_Name,Accepted,Accepted Name,Common,Author,TSN,Synonym1,Synonym2,Guild,ERMN,NETN,MIDN,NCRN
Acer platanoides,Y,Acer platanoides,Norway maple,L.,28755,NA,NA,Tree,1,1,1,1
Ailanthus altissima,Y,Ailanthus altissima,tree-of-heaven,(Mill.) Swingle,28827,NA,NA,Tree,1,1,1,1
Akebia quinata,Y,Akebia quinata,chocolate vine,(Houtt.) Decne.ÿ,18857,NA,NA,Shrub,1,1,1,1
Albizia julibrissin,Y,Albizia julibrissin,silktree,Durazz.,26449,NA,NA,Tree,1,1,1,0
Alliaria petiolata,Y,Alliaria petiolata,garlic mustard,(M. Bieb.) Cavara & Grande,184481,NA,NA,Herbaceous,1,1,1,1
Ampelopsis brevipedunculata,Y,Ampelopsis brevipedunculata,porcelainberry,(Maxim.) Trautv.,28632,NA,NA,Shrub,1,1,1,1
Aralia elata,Y,Aralia elata,Japanese angelica tree,(Miq.) Seem.ÿ,184745,NA,NA,Shrub,1,1,0,0
Arthraxon hispidus,Y,Arthraxon hispidus,small carpgrassÿ,(Thunb.) Makino,41445,NA,NA,Graminoid,1,1,0,0
Berberis thunbergii,Y,Berberis thunbergii,Japanese barberry,DC.,18835,NA,NA,Shrub,1,1,1,1
Berberis vulgaris,Y,Berberis vulgaris,European barberry,L.,18837,NA,NA,Shrub,1,1,0,0
Cardamine impatiens,Y,Cardamine impatiens,narrowleaf bittercress,L.,22798,NA,NA,Herbaceous,1,1,1,0
Celastrus orbiculatus,Y,Celastrus orbiculatus,Asian bittersweet,Thunb.,506068,NA,NA,Shrub,1,1,1,1
Centaurea stoebe,Y,Centaurea stoebe,spotted knapweed,L.,780246,Centaurea stoebe ssp. micranthos,NA,Herbaceous,1,1,1,1
Centaurea stoebe ssp. micranthos,N,Centaurea stoebe,spotted knapweed,(Gugler) Hayek,780711,Centaurea stoebe,NA,Herbaceous,1,1,1,1
Chelidonium majus,Y,Chelidonium majus,celandine,L.,501481,NA,NA,Herbaceous,1,1,0,0
Cirsium arvense,Y,Cirsium arvense,Canada thistle,(L.) Scop.,36335,NA,NA,Herbaceous,1,1,1,1
Clematis terniflora,Y,Clematis terniflora,leatherleaf clematisÿ,ÿDC.,18712,NA,NA,Herbaceous,1,1,1,1
Dioscorea oppositifolia,Y,Dioscorea oppositifolia,Chinese yam,L.,502075,NA,NA,Shrub,1,1,0,0
Dipsacus fullonum,Y,Dipsacus fullonum,common teasel,L.,35404,NA,NA,Herbaceous,1,1,0,0
Elaeagnus,Y,Elaeagnus,oleaster,L.,27769,NA,NA,Shrub,1,1,0,0
Elaeagnus angustifolia,Y,Elaeagnus angustifolia,Russian olive,L.,27770,NA,NA,Shrub,1,1,0,0
Elaeagnus pungens,Y,Elaeagnus pungens,thorny olive,Thunb.,502223,NA,NA,Shrub,1,1,0,0
Elaeagnus umbellata,Y,Elaeagnus umbellata,autumn olive,Thunb.,27776,NA,NA,Shrub,1,1,0,1
Epipactis helleborine,Y,Epipactis helleborine,broadleaf helleborine,(L.) Crantz,43482,NA,NA,Herbaceous,1,1,0,0
Euonymus,Y,Euonymus,burningbush,L.,27945,NA,NA,Shrub,1,1,0,0
Euonymus alatus,Y,Euonymus alatus,winged burningbush,(Thunb.) Siebold,27946,NA,NA,Shrub,1,1,0,1
Euonymus fortunei,Y,Euonymus fortunei,climbing euonymus,(Turcz.) Hand.-Maz.,27950,NA,NA,Shrub,1,1,1,1
Fallopia japonica,Y,Fallopia japonica,Japanese knotweed,(Houtt.) Ronse Decr.ÿ,565897,NA,NA,Herbaceous,1,1,1,1
Fallopia sachalinensis,Y,Fallopia sachalinensis,giant knotweed,(F. Schmidt) Ronse Decr.,565898,Polygonum sachalinense,NA,Herbaceous,1,1,0,0
Frangula alnus,N,Rhamnus frangula,glossy buckthorn,Mill.,504744,Rhamnus frangula,NA,Shrub,1,1,0,0
Glechoma hederacea,Y,Glechoma hederacea,creeping charlie,L.,502801,NA,NA,Herbaceous,1,1,1,1
Hedera helix,Y,Hedera helix,English ivy,L.,29393,NA,NA,Shrub,1,1,1,1
Hesperis matronalis,Y,Hesperis matronalis,dame's rocket,L.,23138,NA,NA,Herbaceous,1,1,0,0
Humulus japonicus,Y,Humulus japonicus,Japanese hop,Siebold & Zucc.ÿ,503065,NA,NA,Herbaceous,1,1,0,0
Iris pseudacorus,Y,Iris pseudacorus,yellow iris,L.,43194,NA,NA,Herbaceous,1,1,0,0
Lespedeza bicolor,Y,Lespedeza bicolor,shrubby lespedeza,Turcz.,25895,NA,NA,Herbaceous,1,1,0,0
Lespedeza cuneata,Y,Lespedeza cuneata,Chinese lespedeza,(Dum. Cours.) G. Don,25898,NA,NA,herbaceous,1,1,1,1
Ligustrum,Y,Ligustrum,privet,L.,32973,NA,NA,Shrub,1,1,0,0
Ligustrum obtusifolium,Y,Ligustrum obtusifolium,border privet,Siebold & Zucc.,32976,NA,NA,Shrub,1,1,0,1
Ligustrum ovalifolium,Y,Ligustrum ovalifolium,California privet,Hassk.,32977,NA,NA,Shrub,1,1,0,0
Ligustrum sinense,Y,Ligustrum sinense,Chinese privet,Lour.,32979,NA,NA,Shrub,1,1,0,0
Ligustrum sp.,N,Ligustrum,privet,L.,32973,Ligustrum,NA,Shrub,1,1,0,0
Ligustrum spp.,N,Ligustrum,privet,L.,32973,Ligustrum,NA,Shrub,1,1,0,0
Ligustrum vulgare,Y,Ligustrum vulgare,European privet,L.,32980,NA,NA,Shrub,1,1,0,0
Lonicera,Y,Lonicera,exotic bush honeysuckle,L.,35281,NA,NA,Shrub,1,1,1,1
Lonicera  Exotic,N,Lonicera,exotic bush honeysuckle,L.,35281,Lonicera,NA,Shrub,1,1,1,1
Lonicera - Exotic,N,Lonicera,exotic bush honeysuckle,L.,35281,Lonicera,NA,Shrub,1,1,1,1
Lonicera japonica,Y,Lonicera japonica,Japanese honeysuckle,Thunb.,35283,NA,NA,Shrub,1,1,1,1
Lonicera maackii,Y,Lonicera maackii,Amur honeysuckle,(Rupr.) Herder,35298,NA,NA,Shrub,1,1,1,1
Lonicera morrowii,Y,Lonicera morrowii,Morrow's honeysuckle,A. Gray,35299,NA,NA,Shrub,1,1,1,1
Lonicera sp. Exotic,N,Lonicera,exotic bush honeysuckle,L.,35281,Lonicera,NA,Shrub,1,1,1,1
Lonicera spp.,N,Lonicera,exotic bush honeysuckle,L.,35281,Lonicera,NA,Shrub,1,1,1,1
Lonicera tatarica,Y,Lonicera tatarica,Tatarian honeysuckle,,35306,NA,NA,Shrub,1,1,0,0
Lysimachia nummularia,Y,Lysimachia nummularia,moneywort,L.,23993,NA,NA,Herbaceous,1,1,0,0
Lythrum salicaria,Y,Lythrum salicaria,purple loosestrife,L.,27079,NA,NA,Herbaceous,1,1,0,0
Microstegium vimineum,Y,Microstegium vimineum,Japanese stiltgrass,(Trin.) A. Camus,503829,NA,NA,Graminoid,1,1,1,1
Miscanthus sinensis,Y,Miscanthus sinensis,Chinese silvergrass,Andersson,41874,NA,NA,Graminoid,1,1,0,0
Morus alba,Y,Morus alba,whilte mulberry,L.,19066,NA,NA,Tree,1,1,1,1
Murdannia keisak,Y,Murdannia keisak,Asian spiderwort,(Hassk.) Hand.-Mazz.ÿ,39145,NA,NA,Herbaceous,1,1,0,0
Nandina domestica,Y,Nandina domestica,heavenly bamboo,Thunb.,18848,NA,NA,Shrub,1,1,0,0
Nasturtium officinale,Y,Nasturtium officinale,watercress,W.T. Aiton,23255,NA,NA,Herbaceous,1,1,0,0
Oplismenus hirtellus ssp. undulatifolius,N,Oplismenus undulatifolius,wavyleaf basketgrass,(Ard.) P. Beauv.ÿ,797406,Oplismenus undulatifolius,NA,Graminoid,1,1,0,0
Oplismenus undulatifolius,Y,Oplismenus undulatifolius,wavyleaf basketgrass,(Ard.) P. Beauv.ÿ,565334,Oplismenus hirtellus ssp. undulatifolius,NA,Graminoid,1,1,0,0
Ornithogalum nutans,Y,Ornithogalum nutans,drooping star of Bethlehem,L.,42755,NA,NA,Herbaceous,1,1,0,0
Ornithogalum umbellatum,Y,Ornithogalum umbellatum,star of Bethlehem,L.,42754,NA,NA,Herbaceous,1,1,0,0
Paulownia tomentosa,Y,Paulownia tomentosa,princess tree,(Thunb.) Steud.ÿ,33460,NA,NA,Tree,1,1,1,0
Perilla frutescens,Y,Perilla frutescens,beefsteak plant,(L.) Britton,32634,NA,NA,Herbaceous,1,1,0,0
Persicaria longiseta,Y,Persicaria longiseta,oriental lady's thumb,(Bruijn) Kitag.,823855,Polygonum caespitosum var. longisetum,NA,Herbaceous,1,1,0,0
Persicaria perfoliata,Y,Persicaria perfoliata,mile-a-minute,(L.) H. Grossÿ,823774,Polygonum perfoliatum,NA,Herbaceous,1,1,1,1
Phalaris arundinacea,Y,Phalaris arundinacea,reed canarygrass,L.,41335,NA,NA,Graminoid,1,1,0,0
Phellodendron amurense,Y,Phellodendron amurense,Amur corktree,Rupr.,504297,NA,NA,Tree,1,1,0,0
Photinia villosa,Y,Photinia villosa,oriental photinia,(Thunb.) DC.,504347,NA,NA,Tree,1,1,0,0
Phragmites australis,Y,Phragmites australis,common reed,(Cav.) Trin. ex Steud.,41072,NA,NA,Graminoid,1,1,0,0
Polygonum caespitosum,N,Persicaria longiseta,oriental lady's thumb,(Bruijn) Kitag.,20852,Persicaria longiseta,Polygonum caespitosum var. caespitosum,Herbaceous,1,1,0,0
Polygonum caespitosum var. ?caespitosum,N,Persicaria posumbu,oriental lady's thumb,(Buch.-Ham. ex D. Don) H. Gross,566298,Persicaria posumbu,Polygonum caespitosum,Herbaceous,1,1,0,0
Polygonum caespitosum var. caespitosum,N,Persicaria posumbu,oriental lady's thumb,(Buch.-Ham. ex D. Don) H. Gross,566298,Persicaria posumbu,Polygonum caespitosum,Herbaceous,1,1,0,0
Polygonum caespitosum var. longisetum,N,Persicaria longiseta,oriental lady's thumb,(Bruijn) Kitag.,529778,Persicaria longiseta,NA,Herbaceous,1,1,0,0
Polygonum cuspidatum,N,Fallopia japonica,Japanese knotweed,(Houtt.) Ronse Decr.ÿ,20889,Fallopia japonica,NA,Herbaceous,1,1,0,1
Polygonum perfoliatum,N,Persicaria perfoliata,mile-a-minute,(L.) H. Grossÿ,20914,Persicaria perfoliata,NA,Herbaceous,1,1,0,1
Polygonum sachalinense,N,Fallopia sachalinensis,giant knotweed,(F. Schmidt) Ronse Decr.,20923,Fallopia sachalinensis,NA,Herbaceous,1,1,0,0
Populus alba,Y,Populus alba,white poplar,L.,22451,NA,NA,Tree,1,1,1,0
Prunus avium,Y,Prunus avium,sweet cherry,(L.) L.,24770,NA,NA,Tree,1,1,1,0
Pueraria montana,Y,Pueraria montana,kudzu,(Lour.) Merr.ÿ,504683,NA,NA,Shrub,1,1,1,1
Pueraria montana var. lobata,N,Pueraria montana,kudzu,(Lour.) Merr.ÿ,529930,Pueraria montana,NA,Shrub,1,1,1,1
Pyrus calleryana,Y,Pyrus calleryana,Callery pear,Decne.,504706,NA,NA,Tree,1,1,1,0
Ranunculus ficaria,Y,Ranunculus ficaria,fig buttercup,L.,18603,NA,NA,Herbaceous,1,1,1,1
Rhamnus cathartica,Y,Rhamnus cathartica,European buckthorn,L.,28573,NA,NA,Shrub,1,1,0,0
Rhamnus frangula,Y,Rhamnus frangula,glossy buckthorn,L.,28579,Frangula alnus,NA,Shrub,1,1,0,0
Rhodotypos scandens,Y,Rhodotypos scandens,jetbead,(Thunb.) Makino,25298,NA,NA,Shrub,1,1,0,0
