site,1997,2000,2002,2003,2004,2005,2006,2007,2008,2009,2013
CACO_HHR22,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
CACO_EHL,no,no,yes,no,yes,yes,no,yes,yes,yes,yes
CACO_MM,no,no,no,yes,no,no,no,no,yes,no,yes
CACO_NI,no,no,no,yes,no,no,no,no,yes,no,yes
CACO_NM,no,no,no,yes,no,no,no,no,yes,no,yes
CACO_PB,no,no,no,yes,no,no,no,no,yes,no,yes
CACO_WE,no,no,no,yes,no,no,no,no,yes,no,yes
CACO_HR,no,no,no,no,yes,no,no,no,yes,no,yes
CACO_GUT,no,no,no,no,no,no,no,no,yes,no,yes
CACO_JM,no,no,no,no,no,no,no,no,yes,no,yes
