Accepted Symbol,Scientific Name,Common Name,state
AREL8,Aralia elata (Miq.) Seem.,Japanese angelica tree,MD
BETH,Berberis thunbergii DC.,Japanese barberry,MD
COIN21,Corydalis incisa (Thunb.) Pers.,incised fumewort,MD
CYSC4,Cytisus scoparius (L.) Link,Scotch broom,MD
EUAL13,Euonymus alatus (Thunb.) Siebold,burningbush,MD
EUFO5,Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper,MD
GELU,Geranium lucidum L.,shining geranium,MD
IRPS,Iris pseudacorus L.,paleyellow iris,MD
LIOB,Ligustrum obtusifolium Siebold & Zucc.,border privet,MD
LOMA6,Lonicera maackii (Rupr.) Herder,Amur honeysuckle,MD
NADO,Nandina domestica Thunb.,sacred bamboo,MD
PHAU8,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo,MD
PHAU80,Phyllostachys aureosulcata McClure,yellow groove bamboo,MD
PYCA80,Pyrus calleryana Decne.,Callery pear,MD
RAFI,Ranunculus ficaria L.,,MD
TEDA,Tetradium daniellii (Benn.) T.G. Hartley,bee-bee tree,MD
WIFO2,Wisteria ×formosa Rehder [floribunda × sinensis],wisteria,MD
WIFL,Wisteria floribunda (Willd.) DC.,Japanese wisteria,MD
WISI,Wisteria sinensis (Sims) DC.,Chinese wisteria,MD
